bailable,energia,volumen,hablado,acustico,instrumental,directo,valencia,popularidad,clave,modo,tempo,genero
0.744,0.849,-8.061,0.326,0.409,0.0,0.251,0.621,50,4,0,97.995,0
0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,77,2,1,171.374,0
0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.518,0.507,74,6,0,80.063,0
0.494,0.724,-3.918,0.329,0.00589,0.0,0.0344,0.534,39,6,0,86.24,0
0.685,0.686,-6.311,0.292,0.0036,0.0,0.0959,0.682,54,7,1,94.188,0
0.84,0.798,-5.079,0.0699,0.045,4.32e-05,0.172,0.695,63,8,1,100.175,0
0.464,0.785,-6.902,0.158,0.0241,0.0,0.121,0.705,30,11,0,164.223,0
0.697,0.943,-4.954,0.175,0.00269,0.0,0.0773,0.754,55,2,1,99.468,0
0.803,0.444,-10.268,0.132,0.031,0.0227,0.112,0.584,64,6,0,92.035,0
0.785,0.556,-11.7,0.271,0.0288,0.0,0.482,0.601,41,0,0,98.836,0
0.859,0.792,-4.007,0.141,0.065,0.0,0.3,0.766,65,2,1,103.201,0
0.813,0.897,-4.592,0.264,0.0157,0.00106,0.0391,0.863,56,6,0,93.029,0
0.794,0.773,-6.065,0.166,0.00286,0.000272,0.326,0.553,54,6,1,92.465,0
0.887,0.539,-9.857,0.265,0.00942,0.0,0.166,0.56,42,10,0,82.024,0
0.763,0.541,-8.843,0.329,0.466,0.0,0.0693,0.885,53,9,0,90.032,0
0.652,0.814,-4.901,0.31,0.164,0.0,0.36,0.788,56,1,1,91.888,0
0.672,0.761,-9.644,0.248,0.0514,0.0,0.474,0.731,48,0,1,102.192,0
0.754,0.575,-8.22,0.366,0.0977,0.0,0.474,0.561,41,9,1,180.389,0
0.825,0.914,-3.938,0.246,0.0535,0.0,0.255,0.782,42,9,1,106.242,0
0.869,0.687,-6.816,0.263,0.0208,1e-06,0.114,0.668,16,1,1,96.006,0
0.615,0.648,-3.792,0.22,0.0411,0.0,0.277,0.26,63,5,0,169.912,0
0.729,0.672,-6.749,0.282,0.0265,0.0,0.244,0.595,62,7,1,159.903,0
0.842,0.587,-6.677,0.069,0.00941,0.000337,0.111,0.135,51,7,0,145.016,0
0.696,0.801,-5.641,0.0952,0.0469,0.0,0.502,0.536,62,5,0,93.003,0
0.742,0.649,-4.466,0.306,0.0248,0.0,0.52,0.446,34,0,1,169.951,0
0.821,0.912,-4.319,0.308,0.213,0.0,0.501,0.574,31,9,1,106.001,0
0.733,0.883,-4.46,0.294,0.0299,1.15e-06,0.343,0.519,41,3,1,111.023,0
0.823,0.564,-6.617,0.116,0.151,0.0,0.122,0.348,57,1,1,131.988,0
0.769,0.632,-4.228,0.0537,0.0325,0.0,0.116,0.294,68,10,0,131.932,0
0.751,0.597,-6.59,0.125,0.0659,0.0,0.0881,0.159,60,9,0,123.997,0
0.634,0.665,-5.984,0.176,0.0172,0.0,0.365,0.611,39,6,0,131.108,0
0.592,0.701,-4.014,0.0858,0.0451,0.0,0.327,0.282,65,10,0,129.501,0
0.456,0.76,-3.015,0.0988,0.0337,0.0,0.228,0.189,54,1,0,148.063,0
0.842,0.498,-6.838,0.505,0.0747,0.0,0.123,0.32,55,1,0,150.933,0
0.45,0.449,-12.037,0.156,0.00791,0.0,0.173,0.139,47,2,1,135.45,0
0.754,0.909,-3.323,0.23,0.138,0.0,0.281,0.591,60,6,0,126.994,0
0.457,0.895,-5.987,0.0722,0.00112,0.0,0.523,0.236,35,1,1,139.923,0
0.651,0.741,-5.067,0.0408,0.00293,1.2e-05,0.217,0.386,61,4,0,168.02,0
0.786,0.625,-4.194,0.0542,0.293,0.0,0.15,0.216,55,6,1,123.983,0
0.795,0.568,-7.817,0.142,0.0541,0.0,0.108,0.478,76,5,0,136.173,0
0.835,0.584,-9.02,0.0655,0.057,0.0,0.355,0.171,51,4,0,119.987,0
0.799,0.826,-4.878,0.0532,0.0413,0.0,0.412,0.323,43,2,1,100.033,0
0.541,0.734,-4.232,0.166,0.0621,0.0,0.12,0.321,64,7,0,162.304,0
0.893,0.48,-3.728,0.356,0.00854,0.0,0.116,0.382,69,1,0,86.976,0
0.725,0.692,-5.742,0.257,0.00841,0.0,0.0912,0.298,52,5,0,169.025,0
0.8,0.523,-6.578,0.107,0.00108,0.0,0.352,0.379,58,1,1,147.057,0
0.814,0.743,-2.968,0.159,0.152,0.0,0.163,0.367,74,9,1,107.996,0
0.779,0.777,-5.608,0.0416,0.308,0.0,0.14,0.391,39,6,1,100.971,0
0.782,0.436,-7.033,0.155,0.331,1.3e-05,0.342,0.243,73,2,1,82.994,0
0.835,0.413,-9.81,0.396,0.373,0.00133,0.101,0.111,74,1,1,149.004,0
0.845,0.399,-7.509,0.309,0.00525,0.74,0.102,0.148,67,1,1,143.049,0
0.875,0.878,-5.358,0.179,0.0966,0.0,0.333,0.381,61,8,1,100.042,0
0.719,0.766,-8.086,0.286,0.37,0.0,0.149,0.639,46,4,0,83.973,0
0.887,0.573,-4.633,0.251,0.332,0.0,0.143,0.237,46,0,0,133.026,0
0.876,0.786,-4.884,0.306,0.0627,0.0,0.127,0.575,80,10,0,153.068,0
0.939,0.551,-9.126,0.291,0.0311,0.0,0.192,0.42,75,1,1,118.552,0
0.917,0.786,-4.921,0.208,0.0403,0.0,0.195,0.441,60,11,0,143.038,0
0.651,0.833,-3.356,0.172,0.0214,0.0,0.14,0.443,66,1,1,155.051,0
0.587,0.772,-7.308,0.0592,0.864,0.0,0.101,0.0918,37,4,0,105.996,0
0.892,0.559,-6.388,0.0813,0.0636,0.0,0.0872,0.438,54,5,1,121.93,0
0.594,0.823,-4.884,0.173,0.00829,0.0,0.661,0.46,44,6,0,71.087,0
0.545,0.975,-3.193,0.454,0.17,0.0,0.145,0.609,66,10,0,123.906,0
0.875,0.6,-6.818,0.0435,0.0189,0.0143,0.132,0.0906,64,1,1,119.987,0
0.656,0.675,-9.476,0.44,0.0303,0.0,0.344,0.475,54,1,1,162.839,0
0.693,0.607,-4.724,0.352,0.319,0.0,0.11,0.607,54,4,0,98.969,0
0.864,0.39,-5.541,0.128,0.476,0.0,0.0954,0.105,57,0,1,139.996,0
0.67,0.788,-2.43,0.0445,0.00225,0.0,0.11,0.292,55,11,0,82.498,0
0.717,0.598,-5.613,0.0809,0.22,0.0,0.122,0.496,82,5,0,153.905,0
0.765,0.777,-4.467,0.243,0.308,0.0,0.0761,0.64,38,1,1,155.947,0
0.553,0.626,-6.711,0.0883,0.335,0.0,0.283,0.666,43,1,1,175.746,0
0.81,0.752,-6.951,0.118,0.0722,0.0,0.112,0.882,23,11,0,136.038,0
0.731,0.518,-8.423,0.304,0.549,0.0,0.149,0.503,17,3,0,130.081,0
0.751,0.646,-5.621,0.0979,0.627,0.0,0.283,0.863,20,6,0,139.883,0
0.82,0.781,-4.077,0.141,0.436,0.0,0.191,0.689,47,11,0,142.049,0
0.493,0.363,-10.169,0.132,0.0978,2.66e-06,0.153,0.148,23,2,1,78.756,0
0.773,0.681,-5.408,0.0558,0.746,0.0,0.0606,0.301,29,6,1,79.953,0
0.675,0.415,-12.514,0.384,0.318,0.0,0.136,0.696,27,1,1,79.394,0
0.699,0.619,-6.544,0.135,0.269,0.0,0.145,0.757,18,6,0,172.003,0
0.571,0.519,-6.027,0.285,0.837,0.0,0.111,0.779,53,2,0,155.823,0
0.598,0.528,-11.211,0.386,0.618,0.0,0.121,0.363,19,0,0,144.847,0
0.688,0.437,-12.341,0.134,0.636,0.0,0.0791,0.397,18,9,0,79.998,0
0.76,0.495,-6.725,0.0317,0.08,0.0,0.208,0.579,14,9,0,118.036,0
0.839,0.804,-2.609,0.0625,0.454,0.0,0.36,0.299,37,11,1,132.951,0
0.621,0.392,-14.526,0.227,0.483,0.00865,0.142,0.325,36,11,0,152.271,0
0.664,0.796,-5.173,0.0529,0.131,0.0,0.13,0.547,20,7,0,80.011,0
0.635,0.547,-6.886,0.108,0.604,0.0,0.115,0.464,31,11,0,76.046,0
0.808,0.578,-7.444,0.403,0.423,0.0,0.125,0.652,28,9,0,93.041,0
0.847,0.433,-5.846,0.771,0.116,0.0,0.384,0.587,26,11,1,80.036,0
0.577,0.556,-10.327,0.393,0.581,0.0,0.111,0.359,14,7,0,143.791,0
0.759,0.656,-5.918,0.146,0.348,0.0,0.151,0.587,47,6,1,140.108,0
0.629,0.686,-5.025,0.447,0.282,0.0,0.107,0.864,23,2,1,177.706,0
0.65,0.773,-7.085,0.171,0.438,1.25e-05,0.205,0.556,21,6,0,81.961,0
0.761,0.371,-14.723,0.546,0.406,0.0,0.364,0.729,32,1,1,81.997,0
0.711,0.721,-4.804,0.298,0.0359,0.0,0.479,0.628,29,1,1,78.613,0
0.732,0.592,-12.303,0.32,0.457,0.0,0.303,0.961,29,9,0,149.982,0
0.853,0.785,-5.671,0.146,0.0622,0.0,0.0872,0.828,33,7,1,80.009,0
0.76,0.546,-7.356,0.247,0.127,0.0,0.117,0.855,20,10,0,86.011,0
0.653,0.842,-5.027,0.326,0.285,0.768,0.0786,0.696,45,11,0,79.979,0
0.753,0.846,-4.316,0.333,0.276,0.0,0.487,0.707,30,4,0,90.049,0
0.651,0.417,-11.24,0.24,0.205,0.0,0.133,0.661,45,5,0,76.052,0
0.676,0.823,-5.676,0.44,0.251,0.0,0.138,0.444,37,4,0,86.974,0
0.743,0.621,-7.006,0.244,0.207,0.0,0.15,0.609,24,6,0,77.985,0
0.89,0.735,-6.412,0.456,0.0987,0.000161,0.179,0.257,39,6,0,79.98,0
0.83,0.581,-7.941,0.242,0.054,0.00117,0.0933,0.801,17,8,1,88.02,0
0.734,0.706,-7.337,0.071,0.0876,0.0,0.159,0.44,42,0,1,150.076,0
0.763,0.818,-2.778,0.184,0.257,0.0,0.0845,0.211,16,4,0,101.09,0
0.732,0.763,-2.006,0.205,0.775,0.0,0.136,0.542,37,9,1,82.985,0
0.845,0.664,-6.728,0.217,0.495,0.013,0.331,0.722,17,11,0,85.01,0
0.61,0.627,-5.707,0.0827,0.662,0.0,0.188,0.489,14,4,0,149.967,0
0.672,0.454,-8.729,0.139,0.818,1.08e-05,0.355,0.614,36,5,0,83.14,0
0.603,0.777,-6.875,0.102,0.702,0.0,0.0821,0.322,21,3,0,145.985,0
0.785,0.752,-5.216,0.26,0.039,0.0,0.114,0.588,31,10,0,95.944,0
0.713,0.646,-7.443,0.047,0.0421,4.74e-06,0.228,0.882,33,6,1,92.026,0
0.733,0.533,-6.787,0.381,0.606,0.0,0.143,0.359,23,6,0,86.899,0
0.857,0.482,-6.523,0.213,0.284,0.0,0.169,0.655,45,3,0,139.961,0
0.848,0.473,-8.247,0.199,0.581,0.015,0.0787,0.757,16,4,0,159.983,0
0.864,0.507,-10.726,0.209,0.224,0.0,0.0942,0.198,25,11,0,116.978,0
0.719,0.374,-6.937,0.199,0.245,1.24e-06,0.342,0.459,29,11,0,81.024,0
0.718,0.551,-3.94,0.154,0.106,0.0,0.153,0.55,43,11,0,78.013,0
0.564,0.563,-9.33,0.255,0.506,0.0,0.113,0.392,41,9,0,176.209,0
0.736,0.665,-5.642,0.0773,0.362,0.0,0.116,0.578,28,1,0,150.043,0
0.662,0.854,-6.126,0.192,0.318,0.0,0.201,0.417,24,0,0,92.01,0
0.621,0.511,-6.551,0.0511,0.00936,0.00649,0.0956,0.57,27,8,0,150.006,0
0.565,0.968,-1.965,0.235,0.172,0.0,0.284,0.682,51,10,0,170.026,0
0.815,0.42,-9.05,0.42,0.159,0.00137,0.0641,0.595,20,6,0,83.781,0
0.81,0.605,-7.228,0.422,0.377,0.0,0.114,0.496,26,5,0,93.944,0
0.84,0.704,-5.124,0.256,0.0528,0.0,0.321,0.546,43,4,0,92.02,0
0.605,0.585,-7.76,0.134,0.176,0.0,0.527,0.432,38,7,0,140.017,0
0.688,0.647,-7.759,0.196,0.0926,0.0,0.116,0.565,19,2,1,87.818,0
0.76,0.434,-11.095,0.0455,0.286,0.0111,0.18,0.533,35,0,1,139.969,0
0.683,0.807,-8.362,0.257,0.0504,0.0,0.211,0.734,26,8,1,168.03,0
0.797,0.465,-8.454,0.381,0.0186,7.3e-06,0.111,0.648,21,7,1,75.975,0
0.866,0.718,-4.212,0.0689,0.509,0.0,0.0629,0.509,34,11,0,126.007,0
0.739,0.379,-7.989,0.242,0.252,1.78e-05,0.123,0.467,34,0,1,74.006,0
0.534,0.742,-6.674,0.0973,0.133,0.0,0.587,0.3,44,11,0,154.072,0
0.684,0.64,-5.41,0.13,0.49,3.54e-06,0.298,0.543,19,10,1,86.026,0
0.864,0.561,-6.484,0.305,0.096,0.00174,0.325,0.571,46,8,1,150.087,0
0.918,0.734,-2.832,0.269,0.0294,7.9e-06,0.191,0.608,67,11,0,97.044,0
0.777,0.957,-3.201,0.318,0.18,0.0,0.296,0.543,66,11,0,105.755,0
0.949,0.661,-4.244,0.0572,0.0302,0.0,0.0454,0.76,80,5,0,104.504,0
0.785,0.479,-10.247,0.362,0.0417,3.5e-05,0.334,0.727,64,3,1,87.691,0
0.805,0.737,-7.284,0.251,0.34,0.0,0.901,0.486,53,11,1,92.929,0
0.831,0.7,-4.113,0.205,0.0121,0.0,0.0854,0.528,40,10,0,99.276,0
0.729,0.581,-8.235,0.18,0.0777,3.81e-06,0.696,0.508,64,5,0,74.038,0
0.896,0.562,-12.899,0.306,0.0206,0.0,0.103,0.683,45,11,0,90.353,0
0.91,0.435,-7.157,0.361,0.04,0.0,0.191,0.391,46,1,1,92.18,0
0.852,0.741,-5.435,0.135,0.0247,0.00106,0.0974,0.534,53,1,0,97.894,0
0.817,0.814,-5.028,0.222,0.114,0.0,0.351,0.923,44,1,1,103.545,0
0.756,0.53,-9.639,0.142,0.00138,0.00701,0.323,0.524,56,7,1,79.855,0
0.855,0.287,-19.876,0.3,0.0709,0.0,0.0911,0.727,49,10,0,93.609,0
0.742,0.878,-7.1,0.252,0.191,0.0,0.088,0.789,44,1,1,83.691,0
0.799,0.876,-3.661,0.242,0.0424,1.08e-06,0.308,0.525,47,10,0,91.35,0
0.764,0.803,-8.697,0.164,0.00246,0.0184,0.386,0.423,52,10,0,92.063,0
0.913,0.444,-8.718,0.249,0.0281,4.17e-05,0.0626,0.628,52,0,1,94.984,0
0.827,0.728,-3.912,0.307,0.0768,0.0,0.237,0.692,56,2,1,90.872,0
0.857,0.721,-12.702,0.341,0.118,0.0,0.178,0.594,51,10,0,109.806,0
0.784,0.576,-8.171,0.157,0.00588,0.0,0.332,0.582,53,10,0,99.05,0
0.546,0.796,-4.697,0.269,0.000373,0.0,0.0505,0.25,45,0,1,175.136,0
0.77,0.812,-5.247,0.146,0.0205,0.0,0.461,0.652,38,7,1,94.661,0
0.886,0.824,-8.803,0.295,0.0128,0.0,0.106,0.64,42,7,1,93.003,0
0.778,0.867,-6.586,0.256,0.171,0.0,0.13,0.547,43,1,1,94.978,0
0.935,0.805,-4.782,0.225,0.0143,1.53e-06,0.298,0.624,64,7,1,105.641,0
0.733,0.442,-14.498,0.37,0.0239,0.0,0.133,0.86,44,10,0,181.634,0
0.829,0.821,-6.184,0.367,0.141,0.0,0.585,0.602,49,9,1,104.966,0
0.555,0.811,-7.483,0.498,0.0301,0.0,0.108,0.565,41,10,0,77.073,0
0.781,0.633,-6.983,0.291,0.0969,0.000984,0.154,0.913,47,11,0,100.414,0
0.876,0.662,-6.482,0.426,0.0608,0.0,0.127,0.844,87,2,0,75.445,0
0.888,0.43,-6.728,0.588,0.0786,1.58e-06,0.132,0.45,76,9,1,120.088,0
0.599,0.857,-5.7,0.299,0.0321,0.0,0.4,0.469,66,7,1,187.985,0
0.766,0.606,-6.064,0.456,0.00266,0.0,0.166,0.352,73,9,1,160.223,0
0.772,0.413,-8.193,0.089,0.0361,0.0,0.111,0.211,64,0,0,131.965,0
0.935,0.699,-10.394,0.25,0.00278,1.52e-05,0.101,0.683,68,10,0,98.44,0
0.617,0.953,-4.162,0.0693,0.119,0.0,0.331,0.594,74,2,1,154.964,0
0.845,0.76,-6.008,0.362,0.209,0.0,0.105,0.516,72,1,0,101.91,0
0.893,0.493,-8.558,0.374,0.00289,0.0,0.209,0.416,56,10,0,83.028,0
0.671,0.833,-5.152,0.395,0.0825,0.0,0.0726,0.702,75,5,0,79.351,0
0.849,0.755,-7.399,0.363,0.346,0.0,0.0564,0.393,57,1,0,144.186,0
0.746,0.527,-6.93,0.259,0.00388,0.0,0.296,0.392,70,1,1,131.792,0
0.769,0.523,-9.762,0.273,0.089,0.0,0.16,0.449,67,7,1,139.785,0
0.951,0.322,-13.615,0.588,0.00136,0.0,0.211,0.366,59,1,1,126.01,0
0.68,0.692,-6.546,0.0392,0.465,0.0,0.35,0.902,49,0,0,130.206,0
0.964,0.346,-9.309,0.53,0.035,0.0,0.108,0.562,81,5,0,119.958,0
0.759,0.73,-7.985,0.0516,0.145,3.06e-06,0.11,0.74,85,0,0,115.007,0
0.734,0.751,-7.26,0.285,0.00529,0.0,0.183,0.56,71,1,1,161.997,0
0.722,0.716,-5.258,0.377,0.00818,0.0,0.892,0.799,74,8,0,128.0,0
0.753,0.872,-5.392,0.332,0.301,0.0,0.136,0.85,50,11,0,166.055,0
0.81,0.754,-6.138,0.302,0.0243,0.0,0.255,0.68,69,5,0,148.091,0
0.846,0.58,-7.92,0.476,0.0185,1.83e-05,0.057,0.553,62,9,0,103.956,0
0.788,0.747,-4.455,0.222,0.0198,0.0,0.386,0.622,51,4,0,164.96,0
0.686,0.83,-5.202,0.277,0.0831,0.0,0.335,0.758,56,0,0,162.149,0
0.834,0.621,-6.156,0.0821,0.0918,0.0,0.0759,0.613,76,7,1,140.05,0
0.946,0.331,-14.408,0.545,0.000974,0.0,0.0896,0.417,54,8,0,124.988,0
0.79,0.394,-9.938,0.0671,0.0626,0.000522,0.111,0.104,54,0,0,134.148,0
0.802,0.82,-5.969,0.146,0.0579,0.0,0.149,0.613,82,10,0,164.005,0
0.698,0.791,-6.581,0.255,0.0133,0.0,0.361,0.838,65,10,0,87.497,0
0.867,0.492,-8.088,0.279,0.253,0.0,0.288,0.567,67,2,1,120.981,0
0.808,0.617,-9.32,0.442,0.113,0.0,0.734,0.632,78,10,0,149.962,0
0.865,0.428,-9.901,0.853,0.0552,0.0,0.307,0.531,52,1,1,123.163,0
0.772,0.639,-7.119,0.467,0.15,0.0,0.0698,0.261,84,1,1,168.112,0
0.852,0.73,-5.803,0.0579,0.0219,0.0,0.336,0.394,79,1,1,92.506,0
0.929,0.437,-5.98,0.41,0.233,3.26e-06,0.096,0.38,54,10,1,140.038,0
0.744,0.677,-4.605,0.0873,0.181,0.0,0.158,0.417,65,5,1,155.954,0
0.917,0.76,-3.29,0.38,0.0263,0.0,0.0976,0.813,53,1,1,136.014,0
0.889,0.511,-9.043,0.317,0.0394,0.0,0.233,0.53,53,1,0,77.993,0
0.728,0.834,-5.16,0.105,0.0168,0.33,0.118,0.46,30,8,0,160.157,0
0.814,0.402,-10.296,0.728,0.0812,0.0,0.0844,0.3,54,1,1,159.941,0
0.787,0.619,-7.32,0.17,0.181,0.0,0.323,0.824,66,9,1,124.09,0
0.765,0.671,-5.249,0.278,0.344,0.0,0.0506,0.798,63,9,0,84.5,0
0.752,0.611,-8.681,0.315,0.21,0.0,0.778,0.746,55,11,0,90.993,0
0.902,0.653,-5.425,0.284,0.19,0.000983,0.0895,0.863,52,4,0,94.069,0
0.884,0.679,-5.857,0.282,0.0957,0.00209,0.0289,0.591,66,10,0,76.993,0
0.743,0.516,-8.27,0.397,0.028,1.89e-05,0.273,0.614,47,11,0,188.247,0
0.49,0.763,-3.802,0.108,0.0114,0.0,0.138,0.632,54,8,1,79.015,0
0.856,0.696,-3.51,0.226,0.0405,8.75e-06,0.0901,0.718,53,6,1,89.738,0
0.7,0.76,-5.881,0.473,0.0124,0.0,0.154,0.438,22,6,0,170.297,0
0.815,0.529,-10.117,0.28,0.0191,0.0,0.406,0.73,58,6,0,99.439,0
0.865,0.841,-5.381,0.225,0.022,0.0,0.0714,0.674,47,7,1,91.982,0
0.711,0.871,-4.32,0.294,0.398,1.69e-06,0.171,0.912,63,2,1,91.153,0
0.928,0.771,-5.935,0.251,0.102,1.07e-05,0.338,0.679,59,3,0,93.987,0
0.904,0.826,-2.372,0.272,0.0531,0.0,0.214,0.824,56,1,0,101.35,0
0.884,0.358,-17.725,0.25,0.244,0.0,0.116,0.483,36,10,0,94.019,0
0.52,0.847,-5.3,0.427,0.272,0.0,0.325,0.799,59,9,1,177.371,0
0.895,0.694,-4.384,0.275,0.176,0.0,0.292,0.632,68,9,1,93.944,0
0.798,0.879,-4.805,0.311,0.00952,0.0,0.18,0.87,30,11,1,98.527,0
0.792,0.701,-7.198,0.283,0.104,0.0,0.761,0.251,63,6,0,103.888,0
0.874,0.714,-6.664,0.129,0.0155,0.0,0.0968,0.541,65,7,1,95.826,0
0.948,0.863,-4.361,0.17,0.000924,0.0,0.0565,0.872,52,1,0,99.902,0
0.824,0.73,-5.183,0.247,0.202,0.0,0.442,0.625,51,11,0,91.743,0
0.871,0.648,-7.825,0.278,0.264,0.0,0.2,0.628,63,10,0,92.301,0
0.843,0.541,-9.889,0.632,0.416,0.0,0.292,0.771,33,1,1,138.041,0
0.598,0.856,-6.204,0.306,0.219,0.0,0.291,0.779,53,9,0,173.929,0
0.69,0.729,-5.819,0.221,1.7e-05,0.0431,0.152,0.357,59,11,0,91.376,0
0.738,0.782,-6.315,0.169,0.143,6.4e-06,0.176,0.654,56,11,0,154.875,0
0.821,0.703,-8.464,0.24,0.192,0.0,0.0816,0.536,64,11,0,105.154,0
0.792,0.694,-8.496,0.33,0.0619,2.32e-05,0.25,0.804,58,8,0,177.094,0
0.825,0.876,-3.2,0.202,0.00227,0.0,0.126,0.539,33,10,0,91.8,0
0.609,0.731,-6.846,0.322,0.397,0.0,0.664,0.685,58,9,1,91.778,0
0.832,0.757,-4.908,0.135,0.029,0.0,0.463,0.449,59,7,1,95.905,0
0.794,0.95,-8.78,0.294,0.124,7.71e-05,0.133,0.324,62,1,1,94.984,0
0.836,0.484,-7.332,0.327,0.0454,0.0,0.0557,0.838,64,2,1,95.94,0
0.905,0.615,-9.852,0.343,0.0287,3.51e-05,0.0625,0.662,38,8,1,92.098,0
0.703,0.848,-5.18,0.38,0.371,0.0,0.189,0.723,47,0,1,81.359,0
0.66,0.766,-4.263,0.194,0.0477,0.000239,0.624,0.722,66,7,1,164.791,0
0.751,0.76,-4.867,0.0524,0.162,0.0,0.242,0.824,60,7,0,140.743,0
0.654,0.817,-4.832,0.313,0.0228,0.0,0.216,0.86,48,10,0,174.055,0
0.816,0.813,-3.124,0.361,0.448,0.0,0.153,0.79,57,8,1,171.816,0
0.7,0.818,-7.623,0.0362,0.518,0.00018,0.288,0.442,60,9,0,90.041,0
0.733,0.688,-7.817,0.329,0.166,0.0,0.0983,0.888,48,0,1,79.966,0
0.694,0.771,-8.079,0.168,0.0151,0.000941,0.088,0.7,38,11,0,81.925,0
0.885,0.747,-7.07,0.199,0.143,0.000102,0.583,0.552,41,1,0,91.974,0
0.632,0.856,-5.583,0.0881,0.106,0.00379,0.333,0.868,47,5,0,87.028,0
0.867,0.711,-5.035,0.164,0.0581,0.0,0.371,0.717,39,7,1,94.983,0
0.874,0.613,-6.539,0.147,0.179,0.00879,0.13,0.328,41,4,0,89.978,0
0.728,0.602,-7.742,0.134,0.0763,0.0315,0.367,0.568,51,7,0,77.01,0
0.725,0.808,-6.843,0.0864,0.000101,0.000976,0.0893,0.539,50,2,1,100.578,0
0.821,0.778,-8.538,0.278,0.0194,0.0,0.181,0.322,28,9,0,90.017,0
0.867,0.684,-8.815,0.276,0.0615,0.0,0.29,0.695,19,1,0,96.997,0
0.877,0.822,-8.725,0.235,0.0134,0.00218,0.596,0.774,27,7,1,95.004,0
0.692,0.84,-6.309,0.136,0.00908,6.99e-05,0.088,0.415,19,1,1,96.991,0
0.757,0.858,-7.963,0.0777,0.00281,0.348,0.403,0.881,39,0,0,155.964,0
0.875,0.767,-6.909,0.249,0.0336,0.0446,0.0236,0.67,46,6,0,94.004,0
0.903,0.704,-6.702,0.114,0.0272,0.0044,0.117,0.587,58,0,1,92.009,0
0.779,0.66,-7.697,0.329,0.227,0.0,0.248,0.942,37,4,0,165.983,0
0.599,0.81,-6.847,0.287,0.0311,0.0,0.0481,0.76,24,1,1,181.877,0
0.692,0.637,-4.957,0.413,0.534,0.0,0.104,0.871,39,3,0,180.038,0
0.691,0.684,-8.07,0.404,0.0163,0.000286,0.456,0.729,46,0,1,172.188,0
0.859,0.457,-7.75,0.104,0.262,0.0101,0.0941,0.839,50,9,0,95.018,0
0.728,0.679,-7.109,0.193,0.0413,0.0,0.177,0.552,43,6,0,96.006,0
0.686,0.559,-7.734,0.281,0.196,0.00231,0.165,0.393,53,8,1,172.067,0
0.768,0.64,-4.529,0.0662,0.424,0.245,0.173,0.552,41,2,1,93.992,0
0.704,0.721,-5.319,0.227,0.0355,1.82e-05,0.591,0.775,61,8,0,174.043,0
0.697,0.733,-5.265,0.329,0.0487,1.18e-06,0.103,0.828,46,6,0,173.009,0
0.547,0.827,-5.975,0.324,0.00728,0.186,0.084,0.408,45,8,1,182.056,0
0.705,0.796,-5.845,0.417,0.148,1.49e-06,0.117,0.734,33,2,1,109.349,0
0.547,0.63,-8.772,0.493,0.0123,0.00233,0.14,0.555,61,10,0,192.733,0
0.66,0.839,-5.13,0.304,0.0608,2.44e-05,0.216,0.711,42,6,0,92.974,0
0.44,0.806,-6.276,0.123,0.158,0.0232,0.522,0.438,35,4,0,80.088,0
0.454,0.899,-8.508,0.571,0.0637,0.00891,0.622,0.516,42,0,1,179.396,0
0.695,0.684,-6.538,0.0491,0.133,0.00736,0.12,0.513,28,10,0,83.744,0
0.649,0.95,-4.812,0.171,0.154,0.0668,0.323,0.506,27,1,1,88.503,0
0.583,0.847,-9.945,0.298,0.0675,1.17e-05,0.206,0.443,40,1,1,155.478,0
0.643,0.707,-4.05,0.407,0.0278,0.0,0.286,0.646,36,7,1,174.179,0
0.846,0.573,-7.037,0.119,0.0977,0.0,0.161,0.961,19,2,0,143.934,0
0.745,0.651,-7.94,0.374,0.182,0.0,0.128,0.696,11,9,0,164.023,0
0.715,0.776,-5.266,0.349,0.117,0.0,0.127,0.804,35,2,1,173.063,0
0.854,0.438,-11.475,0.489,0.511,0.00189,0.295,0.178,52,5,0,139.957,0
0.643,0.69,-14.584,0.231,0.0817,0.0057,0.246,0.759,20,2,1,79.98,0
0.857,0.631,-11.829,0.303,0.000956,0.00303,0.0748,0.303,29,8,0,81.241,0
0.794,0.851,-2.427,0.348,0.514,0.0,0.273,0.966,36,9,1,87.871,0
0.781,0.733,-6.479,0.115,0.281,0.0,0.108,0.563,17,10,0,131.974,0
0.72,0.726,-4.719,0.144,0.0754,0.0,0.636,0.867,42,1,1,85.53,0
0.734,0.663,-6.279,0.309,0.342,0.0,0.649,0.845,70,10,1,166.846,0
0.676,0.857,-5.39,0.209,0.124,0.000243,0.345,0.538,46,1,1,94.031,0
0.688,0.717,-5.146,0.27,0.079,0.0,0.433,0.586,50,1,1,75.441,0
0.684,0.522,-11.249,0.347,0.111,0.0,0.138,0.666,38,6,0,89.929,0
0.641,0.747,-5.902,0.0831,0.02,0.0,0.11,0.757,35,4,0,89.024,0
0.644,0.791,-4.587,0.273,0.157,0.0,0.314,0.408,68,5,1,91.753,0
0.761,0.791,-6.392,0.323,0.201,0.0,0.107,0.783,45,1,1,174.047,0
0.748,0.655,-11.092,0.0522,0.0676,6.94e-06,0.367,0.734,24,9,0,83.028,0
0.835,0.581,-6.192,0.17,0.2,0.0,0.0975,0.723,39,11,1,89.819,0
