bailable,energia,valencia,acustico,instrumental,popularidad,tempo,genero
0.708,0.825,0.662,0.031,0.0,60,109.991,0
0.588,0.757,0.836,0.327,0.0,63,122.813,0
0.696,0.907,0.466,0.0191,1.23e-05,61,125.932,0
0.707,0.585,0.277,0.145,0.00485,60,125.161,0
0.768,0.83,0.444,0.0229,0.000127,58,126.007,0
0.686,0.693,0.699,0.329,0.0,70,124.206,0
0.763,0.674,0.759,0.0106,3.58e-06,58,105.027,0
0.6,0.754,0.641,0.0688,0.0,67,128.044,0
0.691,0.924,0.34,0.00828,3.8e-06,62,125.983,0
0.63,0.726,0.499,0.0717,0.0,56,122.055,0
0.605,0.854,0.165,0.0673,0.0,51,124.024,0
0.609,0.523,0.342,0.00959,0.000155,54,127.977,0
0.752,0.764,0.582,0.0476,9.44e-05,63,121.958,0
0.684,0.823,0.384,0.00576,7.42e-06,53,117.993,0
0.401,0.872,0.472,0.167,0.0,69,104.592,0
0.814,0.705,0.6,0.0958,0.000133,50,110.004,0
0.724,0.733,0.672,0.0249,0.000318,66,125.993,0
0.564,0.833,0.395,0.0112,0.0,35,127.948,0
0.674,0.471,0.219,0.0946,0.0,51,127.963,0
0.468,0.968,0.284,0.0224,0.922,50,129.998,0
0.465,0.739,0.0652,0.00987,1.88e-06,42,125.994,0
0.631,0.939,0.353,0.0728,0.000187,50,128.048,0
0.671,0.91,0.413,0.00196,0.0316,63,128.036,0
0.651,0.711,0.425,0.111,6.13e-05,49,125.089,0
0.438,0.914,0.225,0.0206,0.623,45,128.184,0
0.59,0.678,0.4,0.0259,2.2e-05,56,126.061,0
0.461,0.773,0.266,0.0153,0.0,41,131.085,0
0.563,0.954,0.788,0.119,0.168,70,128.014,0
0.446,0.573,0.167,0.0416,0.0,57,135.96,0
0.486,0.855,0.151,0.000452,0.00146,48,129.9,0
0.527,0.806,0.534,0.000598,0.0,66,131.882,0
0.361,0.945,0.138,0.00105,0.0342,39,127.985,0
0.787,0.722,0.52,0.0489,0.0,28,127.952,0
0.63,0.787,0.466,0.00489,0.0,48,128.997,0
0.746,0.805,0.843,0.074,0.0,60,144.983,0
0.695,0.88,0.786,0.194,0.0,29,127.075,0
0.803,0.863,0.467,0.00947,0.0136,40,112.986,0
0.826,0.569,0.555,0.287,0.000491,38,105.014,0
0.636,0.744,0.486,0.101,0.0,30,133.994,0
0.486,0.714,0.496,0.0622,0.0,31,127.41,0
0.789,0.77,0.791,0.0403,0.0,37,102.0,0
0.608,0.961,0.366,0.023,0.0,35,137.9,0
0.604,0.733,0.399,0.105,0.0,49,124.885,0
0.836,0.588,0.636,0.237,0.000913,23,92.985,0
0.705,0.666,0.697,0.577,0.0,34,127.967,0
0.718,0.8,0.266,0.00588,1.63e-05,60,117.98,0
0.847,0.512,0.765,0.152,0.000478,30,111.989,0
0.742,0.719,0.318,0.0867,0.0,41,125.007,0
0.549,0.847,0.149,0.0587,0.0,29,124.01,0
0.716,0.463,0.342,0.693,0.000296,21,92.023,0
0.697,0.77,0.748,0.00374,0.0,21,102.002,0
0.866,0.746,0.594,0.446,0.0,40,100.019,0
0.554,0.782,0.63,0.198,0.0,26,155.912,0
0.684,0.854,0.594,0.0615,1.37e-06,26,101.034,0
0.711,0.934,0.866,0.0445,8.83e-06,36,124.988,0
0.649,0.856,0.892,0.127,0.0,32,171.884,0
0.392,0.891,0.45,0.0236,0.0,34,89.952,0
0.763,0.763,0.953,0.0298,1.9e-05,21,143.994,0
0.625,0.728,0.101,0.0097,0.0,36,96.009,0
0.621,0.614,0.727,0.0462,1.8e-06,36,200.012,0
0.729,0.646,0.543,0.0682,0.000481,42,82.49,0
0.713,0.709,0.708,0.042,0.0,49,109.973,0
0.705,0.55,0.351,0.0887,0.00485,12,94.969,0
0.62,0.775,0.427,0.0634,0.0501,16,107.992,0
0.834,0.823,0.872,0.09,0.000101,27,128.006,0
0.738,0.55,0.599,0.00919,0.000648,44,110.024,0
0.74,0.56,0.207,0.172,0.0,41,111.083,0
0.638,0.735,0.628,0.0269,0.0,44,99.964,0
0.704,0.584,0.752,0.324,0.0979,39,102.987,0
0.599,0.795,0.479,0.223,0.0,21,150.036,0
0.539,0.739,0.386,0.0263,0.0,35,173.082,0
0.738,0.846,0.879,0.158,0.0353,16,125.98,0
0.802,0.776,0.687,0.16,0.0,27,109.996,0
0.679,0.637,0.228,0.0821,1.04e-06,37,105.026,0
0.625,0.905,0.597,0.553,0.0298,30,140.026,0
0.677,0.75,0.967,0.14,0.000249,40,114.958,0
