bailable,energia,valencia,acustico,instrumental,popularidad,tempo,genero
0.818,0.42,0.476,0.27,0.0,33,124.845,1
0.666,0.396,0.0773,0.175,0.000544,33,116.041,1
0.856,0.572,0.454,0.0136,1.55e-06,60,82.445,1
0.953,0.699,0.258,0.0612,0.0,40,120.018,1
0.779,0.801,0.533,0.193,0.0,40,146.881,1
0.808,0.328,0.136,0.274,0.0,27,140.114,1
0.745,0.543,0.417,0.341,0.0,44,120.1,1
0.568,0.619,0.293,0.138,1.67e-06,67,170.115,1
0.748,0.705,0.483,0.204,0.0,72,189.891,1
0.841,0.629,0.674,0.781,0.0,30,119.047,1
0.631,0.732,0.549,0.0304,0.0,57,151.779,1
0.599,0.858,0.61,0.0163,0.0,42,149.448,1
0.895,0.564,0.366,0.734,1.25e-06,35,129.97,1
0.811,0.605,0.189,0.0998,9.09e-05,32,128.042,1
0.734,0.543,0.0417,0.312,4.03e-06,20,122.029,1
0.751,0.64,0.252,0.114,0.0,24,119.98,1
0.759,0.705,0.15,0.00806,0.0,34,140.048,1
0.769,0.603,0.255,0.177,0.0,39,120.051,1
0.934,0.359,0.0886,0.173,8.11e-06,60,140.004,1
0.741,0.562,0.292,0.172,0.0,62,180.068,1
0.827,0.57,0.412,0.0457,0.0,61,148.119,1
0.772,0.605,0.425,0.174,0.0,65,128.162,1
0.646,0.534,0.427,0.0578,0.0,52,99.987,1
0.341,0.518,0.0901,0.000673,0.00716,42,52.538,1
0.849,0.499,0.654,0.289,1.91e-06,37,119.998,1
0.853,0.591,0.433,0.174,0.0,63,119.088,1
0.839,0.888,0.6,0.13,0.000376,51,115.005,1
0.856,0.758,0.18,0.0304,0.0,56,124.073,1
0.957,0.588,0.298,0.0612,0.0,52,127.055,1
0.848,0.663,0.333,0.523,0.0,65,133.993,1
0.669,0.539,0.0834,0.0163,0.00154,16,125.035,1
0.731,0.478,0.128,0.792,0.000559,35,110.104,1
0.565,0.639,0.156,0.148,0.0,43,101.841,1
0.78,0.527,0.197,0.0206,0.00376,48,112.03,1
0.793,0.607,0.302,0.00133,0.554,14,130.016,1
0.697,0.901,0.535,0.169,0.0,52,103.145,1
0.88,0.556,0.396,0.00353,0.0,40,98.126,1
0.902,0.352,0.695,0.00185,0.0,23,134.417,1
0.662,0.288,0.544,0.01,0.931,26,150.279,1
0.784,0.429,0.114,0.00723,0.939,13,135.029,1
0.79,0.621,0.246,0.00323,0.545,14,149.964,1
0.809,0.789,0.533,0.061,0.00309,26,92.999,1
0.773,0.575,0.127,0.000446,0.87,16,132.014,1
0.679,0.558,0.293,0.00163,0.000738,17,187.942,1
0.767,0.943,0.642,0.0552,0.0352,35,89.446,1
0.813,0.687,0.733,0.0562,0.0,48,103.196,1
0.83,0.591,0.331,0.0767,0.00139,11,112.324,1
0.83,0.651,0.565,0.000743,0.0327,25,135.283,1
0.825,0.391,0.396,0.000374,0.00188,47,132.104,1
0.954,0.465,0.658,0.000881,1.13e-06,41,130.018,1
0.789,0.753,0.622,0.00132,5.71e-06,35,135.65,1
0.81,0.613,0.45,0.0624,0.0,52,87.042,1
0.822,0.702,0.804,0.0919,0.00559,52,91.37,1
0.965,0.449,0.722,0.0502,1.17e-06,53,105.392,1
0.827,0.532,0.694,0.0219,2.91e-05,55,87.257,1
0.853,0.603,0.546,0.14,0.0,53,95.936,1
0.868,0.372,0.666,0.0103,0.00455,52,99.965,1
0.931,0.513,0.3,0.108,0.000435,48,101.064,1
0.902,0.411,0.667,0.176,0.0,61,84.07,1
0.753,0.514,0.563,0.0612,0.0,36,166.015,1
0.824,0.48,0.724,0.178,0.0,40,88.029,1
0.846,0.577,0.432,0.0193,3.08e-05,32,104.961,1
0.896,0.517,0.285,0.00596,0.364,51,98.472,1
0.919,0.975,0.884,0.0898,0.00253,43,102.982,1
0.797,0.582,0.415,0.00484,2.04e-06,56,105.974,1
0.947,0.607,0.732,0.0249,4.76e-06,48,100.619,1
0.819,0.292,0.516,0.0269,0.0,50,173.055,1
0.69,0.38,0.305,0.000168,0.000533,53,201.697,1
0.935,0.599,0.635,0.057,5.4e-05,44,115.058,1
0.824,0.629,0.661,0.0829,5.86e-06,39,184.012,1
0.83,0.626,0.475,0.00725,0.0,46,92.25,1
0.838,0.542,0.239,0.115,0.0075,42,87.094,1
0.855,0.52,0.402,0.184,0.0,59,92.451,1
0.624,0.435,0.735,0.000917,1.17e-06,47,179.267,1
0.854,0.706,0.747,0.162,7.22e-06,48,104.212,1
0.737,0.89,0.809,0.00556,0.00171,53,105.848,1
0.884,0.472,0.826,0.0142,0.0,52,98.425,1
0.647,0.193,0.262,0.0274,0.867,36,170.535,1
0.813,0.531,0.604,0.0156,0.526,26,127.865,1
0.953,0.428,0.723,0.0079,0.0302,50,131.737,1
0.862,0.85,0.507,0.0036,2.29e-05,34,137.531,1
0.777,0.901,0.577,0.00106,0.0,34,133.011,1
0.723,0.484,0.731,0.00318,0.00529,28,201.262,1
0.956,0.722,0.809,0.0564,2.26e-06,35,115.438,1
0.874,0.973,0.898,0.00358,0.0656,35,111.384,1
0.791,0.738,0.891,0.0123,0.0,46,95.3,1
0.656,0.886,0.747,0.0219,0.00042,39,97.12,1
0.584,0.422,0.0374,0.254,0.897,24,182.553,1
0.943,0.494,0.635,0.0167,1.28e-06,37,108.103,1
0.858,0.657,0.622,0.0945,0.0,33,89.988,1
0.826,0.658,0.571,0.0759,1.86e-05,49,98.05,1
0.797,0.563,0.687,0.119,0.323,51,108.369,1
0.741,0.478,0.328,0.00399,0.0211,18,104.206,1
0.925,0.689,0.207,0.000494,0.0005,35,118.819,1
0.674,0.43,0.385,0.107,7.31e-05,42,88.543,1
0.701,0.574,0.196,0.000351,0.00134,43,170.268,1
0.8,0.658,0.674,0.00436,0.0,39,92.064,1
0.416,0.824,0.417,0.00391,0.0,62,85.433,1
0.674,0.649,0.48,0.191,0.0,77,153.069,1
0.887,0.673,0.491,0.0743,4.06e-05,64,105.113,1
0.523,0.805,0.602,0.0524,0.0,38,125.358,1
0.661,0.752,0.617,0.0214,0.00566,32,93.107,1
0.632,0.579,0.294,0.511,5.09e-05,43,115.294,1
0.654,0.751,0.568,0.246,0.0179,70,92.781,1
0.818,0.675,0.47,0.118,1.65e-05,48,139.977,1
0.654,0.917,0.447,0.187,2.05e-06,44,93.1,1
0.768,0.654,0.697,0.324,0.00101,41,160.082,1
0.734,0.594,0.559,0.0227,0.000376,17,155.047,1
0.69,0.618,0.733,0.0175,3.26e-06,65,174.038,1
0.451,0.632,0.234,0.0114,0.0,62,132.89,1
0.609,0.799,0.582,0.33,0.0,15,157.74,1
0.946,0.491,0.586,0.00521,0.0,55,130.029,1
0.484,0.852,0.766,0.0317,0.0,61,103.578,1
0.497,0.778,0.836,0.0387,0.0,15,83.13,1
0.8,0.812,0.634,0.0117,0.0,34,111.038,1
0.812,0.784,0.755,0.112,0.0,55,91.991,1
0.603,0.809,0.542,0.000132,0.0322,25,124.01,1
0.689,0.763,0.589,0.0608,0.0,19,80.973,1
0.875,0.867,0.678,0.0632,0.0,47,98.004,1
0.686,0.836,0.416,0.00582,0.0,41,81.969,1
0.72,0.514,0.212,0.146,0.00713,64,142.98,1
0.712,0.838,0.607,0.403,0.0,12,148.138,1
0.761,0.851,0.463,0.556,0.000545,64,92.486,1
0.468,0.753,0.467,0.454,1.33e-05,44,86.473,1
0.636,0.901,0.836,0.119,0.0,68,162.994,1
0.871,0.743,0.576,0.00212,0.0,65,130.977,1
0.74,0.445,0.593,0.074,3.4e-05,53,91.745,1
0.854,0.71,0.818,0.0113,8.72e-05,74,106.894,1
0.862,0.642,0.765,0.102,0.0,64,99.201,1
0.682,0.505,0.4,0.137,0.0,10,89.954,1
0.855,0.798,0.855,0.0101,0.000615,58,90.429,1
0.858,0.76,0.951,0.0217,0.0,58,93.082,1
0.755,0.459,0.597,0.115,0.0,55,98.454,1
0.704,0.642,0.72,0.00704,1.43e-06,64,92.09,1
0.889,0.466,0.403,0.0846,7.44e-06,60,100.17,1
0.702,0.832,0.619,0.02,2.8e-06,51,92.362,1
0.769,0.752,0.527,0.031,2.79e-06,61,90.225,1
0.808,0.765,0.761,0.00916,0.000196,51,92.044,1
0.697,0.687,0.866,0.26,4.8e-05,62,90.247,1
0.812,0.778,0.599,0.6,4.39e-05,50,87.713,1
0.812,0.555,0.698,0.0236,0.0,44,92.062,1
0.782,0.597,0.528,0.0568,0.0,56,94.631,1
0.857,0.672,0.671,0.0649,0.0,53,86.777,1
0.861,0.56,0.634,0.148,2.7e-05,53,88.299,1
0.865,0.641,0.762,0.0611,0.000107,59,95.307,1
0.687,0.597,0.804,0.0314,0.0,58,169.691,1
0.876,0.657,0.595,0.0171,0.00188,40,88.966,1
0.707,0.776,0.379,0.0195,2.05e-06,42,91.283,1
0.723,0.739,0.805,0.403,0.0,46,177.886,1
0.901,0.655,0.807,0.00743,0.00629,41,96.005,1
0.87,0.498,0.489,0.000671,0.000389,53,92.887,1
0.814,0.531,0.252,0.00415,7.02e-05,45,95.187,1
0.798,0.624,0.347,0.417,1.01e-05,59,89.02,1
0.857,0.635,0.53,0.0355,0.00345,50,96.589,1
0.651,0.61,0.741,0.109,1.1e-05,56,166.079,1
0.723,0.57,0.918,0.111,0.0,29,178.112,1
0.708,0.305,0.691,0.138,3.08e-06,52,174.154,1
0.842,0.478,0.595,0.0234,1.91e-05,53,95.457,1
0.745,0.547,0.858,0.00958,2.91e-05,54,177.398,1
0.726,0.398,0.536,0.213,0.155,36,91.599,1
0.945,0.364,0.852,0.0634,0.0,37,102.39,1
0.773,0.63,0.677,0.142,1.92e-06,48,173.922,1
0.794,0.627,0.518,0.234,0.0,63,87.554,1
0.707,0.617,0.594,0.22,0.00018,54,96.051,1
0.857,0.488,0.621,0.428,2.82e-06,56,92.102,1
0.677,0.252,0.441,0.819,1.77e-06,52,91.484,1
0.925,0.388,0.359,0.334,0.0,60,105.056,1
0.914,0.394,0.427,0.189,0.000168,58,91.504,1
0.594,0.785,0.426,0.356,2.18e-05,60,171.755,1
0.848,0.698,0.697,0.107,0.0,53,94.066,1
0.769,0.791,0.768,0.179,0.000642,52,182.949,1
0.734,0.503,0.599,0.0143,8.11e-05,29,93.872,1
0.671,0.705,0.784,0.34,0.000839,34,97.18,1
0.727,0.793,0.888,0.0924,0.000299,26,93.647,1
0.756,0.748,0.822,0.11,0.0,27,101.845,1
0.77,0.656,0.788,0.11,0.0,52,98.82,1
0.766,0.728,0.626,0.623,0.000715,25,104.741,1
0.805,0.648,0.636,0.0325,1.36e-06,24,94.881,1
0.702,0.711,0.586,0.362,0.0,26,98.717,1
0.679,0.783,0.785,0.243,0.000418,27,92.847,1
0.647,0.751,0.718,0.0138,6.25e-06,31,173.783,1
0.759,0.689,0.865,0.281,0.0,25,93.79,1
0.827,0.676,0.792,0.0257,4.8e-06,40,97.835,1
0.827,0.619,0.73,0.00365,0.011,48,111.083,1
0.902,0.524,0.553,0.00177,1.33e-05,36,92.986,1
0.904,0.606,0.211,0.296,0.000197,43,100.195,1
0.854,0.741,0.67,0.244,0.00226,47,97.978,1
0.464,0.771,0.69,0.0235,0.0,66,158.777,1
0.689,0.791,0.755,0.023,0.0,66,95.04,1
0.803,0.585,0.593,0.103,3.94e-06,78,105.017,1
0.936,0.702,0.704,0.0473,0.0,59,97.524,1
0.718,0.679,0.205,0.00191,0.0104,62,157.97,1
0.813,0.453,0.191,0.0933,0.0,67,161.997,1
0.766,0.442,0.39,0.000107,6.12e-05,73,201.8,1
0.897,0.642,0.291,0.0219,1.31e-06,60,127.984,1
0.762,0.666,0.278,0.00427,0.0,70,118.97,1
0.895,0.681,0.554,0.157,0.0,70,121.918,1
0.717,0.862,0.52,0.00689,0.0,67,130.021,1
0.733,0.818,0.253,0.0241,0.0,15,116.019,1
0.79,0.59,0.714,0.0994,0.00203,20,119.951,1
0.488,0.729,0.301,0.14,0.0,36,134.912,1
0.652,0.795,0.788,0.156,0.0,74,135.018,1
0.734,0.584,0.759,0.148,0.0,38,130.193,1
0.841,0.733,0.284,0.0246,0.0,71,130.009,1
0.779,0.472,0.412,0.0577,0.0,65,135.051,1
0.929,0.339,0.273,0.0373,1.96e-05,64,98.986,1
0.681,0.567,0.698,0.174,0.0,55,73.009,1
0.735,0.488,0.777,0.0636,0.0,45,99.043,1
0.913,0.449,0.0865,0.183,1.23e-05,37,97.527,1
0.7,0.887,0.382,0.0843,0.0,37,110.015,1
0.492,0.698,0.288,0.0524,0.0,65,139.953,1
0.823,0.563,0.682,0.0399,0.0,73,98.031,1
0.638,0.924,0.529,0.00205,0.000173,74,111.995,1
0.964,0.636,0.343,0.0393,0.0097,39,126.705,1
0.663,0.606,0.613,0.579,0.0,42,79.721,1
0.733,0.531,0.378,0.13,0.0,33,171.632,1
0.818,0.633,0.803,0.0192,1.47e-05,49,150.0,1
0.842,0.478,0.797,0.005,9.97e-06,17,156.079,1
0.708,0.781,0.937,0.0737,0.0,37,163.518,1
0.836,0.757,0.722,0.155,0.0,31,93.004,1
0.653,0.79,0.51,0.0175,1.26e-05,39,175.941,1
0.794,0.82,0.94,0.0432,4.58e-05,22,156.882,1
0.7,0.547,0.67,0.0532,0.0,48,157.137,1
0.623,0.896,0.613,0.035,0.0,51,95.158,1
0.589,0.809,0.695,0.0235,0.0,46,103.103,1
0.527,0.846,0.768,0.252,0.0,30,146.925,1
0.542,0.659,0.859,0.0795,0.0,31,89.592,1
0.495,0.883,0.782,0.287,0.0,54,92.136,1
0.756,0.691,0.632,0.0744,0.0,63,104.999,1
0.859,0.771,0.725,0.0502,2.24e-06,16,125.023,1
0.601,0.73,0.371,0.0121,0.0,49,83.233,1
0.828,0.657,0.613,0.0981,0.0,41,125.567,1
0.815,0.797,0.65,0.0557,0.0,47,96.006,1
0.691,0.875,0.795,0.0633,0.0,30,87.343,1
0.681,0.803,0.547,0.0357,0.0,28,180.138,1
0.752,0.879,0.687,0.225,0.0,22,88.014,1
0.657,0.523,0.512,0.0316,1.53e-06,34,155.847,1
0.877,0.694,0.771,0.132,1.03e-05,22,97.92,1
0.704,0.62,0.712,0.132,0.0,17,75.168,1
0.8,0.707,0.621,0.0425,3.93e-06,19,91.229,1
0.742,0.788,0.848,0.00961,0.105,52,85.835,1
0.81,0.428,0.649,0.0623,0.0,51,142.075,1
0.809,0.718,0.495,0.0127,0.0,50,93.031,1
0.815,0.852,0.717,0.0958,1.32e-06,49,184.666,1
0.797,0.668,0.325,0.0134,0.0,36,156.026,1
0.857,0.774,0.488,0.0432,0.0,21,94.724,1
0.742,0.769,0.621,0.00452,8.95e-06,18,92.178,1
0.875,0.597,0.339,0.000179,0.0,12,87.191,1
0.809,0.782,0.69,0.0225,1.66e-05,11,153.806,1
0.772,0.663,0.637,0.0189,0.0,13,84.18,1
0.808,0.741,0.418,0.113,0.0,41,80.004,1
0.793,0.861,0.648,0.22,0.0,23,152.028,1
0.85,0.705,0.839,0.022,0.000939,45,160.961,1
0.825,0.745,0.542,0.00857,0.0,43,169.836,1
0.883,0.896,0.748,0.268,1.04e-06,42,93.928,1
0.914,0.607,0.666,0.0626,0.0,51,98.054,1
0.444,0.887,0.421,0.0177,0.000182,26,80.195,1
0.461,0.841,0.599,0.0141,0.0,12,75.524,1
0.567,0.78,0.532,0.00383,0.0,25,87.172,1
0.598,0.895,0.775,0.0905,0.0,27,139.829,1
0.696,0.213,0.506,0.0426,0.897,13,86.977,1
0.481,0.716,0.404,0.0123,0.0,50,78.829,1
0.729,0.838,0.349,0.00612,0.0,52,136.869,1
0.629,0.7,0.153,0.0084,0.0,52,85.814,1
0.451,0.836,0.437,0.188,0.0,41,81.988,1
0.456,0.746,0.323,0.0368,0.0,29,95.266,1
0.813,0.603,0.829,0.316,0.0,21,123.172,1
0.513,0.684,0.708,0.189,0.0,31,181.444,1
0.578,0.894,0.43,0.0374,0.0,35,143.168,1
0.683,0.74,0.429,0.0272,0.0,31,83.857,1
0.505,0.837,0.173,0.0818,0.0,30,142.626,1
0.55,0.703,0.491,0.156,0.0,39,156.503,1
0.419,0.655,0.353,0.0571,0.0,57,76.835,1
0.591,0.696,0.254,0.187,0.0,33,77.498,1
0.511,0.793,0.799,0.0431,0.0,44,81.331,1
0.469,0.78,0.444,0.224,0.0,68,125.999,1
0.484,0.913,0.621,0.333,0.0,41,92.715,1
0.873,0.651,0.432,0.216,6.63e-05,30,119.988,1
0.762,0.666,0.476,0.259,0.0,40,94.066,1
0.591,0.731,0.508,0.0916,0.000109,24,79.793,1
0.559,0.778,0.638,0.0681,0.0,25,179.648,1
0.392,0.758,0.511,0.0617,0.0,23,83.601,1
0.675,0.556,0.525,0.147,0.00238,25,90.411,1
0.353,0.882,0.656,0.013,0.0,16,83.744,1
0.45,0.87,0.448,0.0259,0.00221,18,79.999,1
0.463,0.878,0.663,0.00524,0.0,21,80.145,1
0.592,0.849,0.725,0.185,0.0,17,79.776,1
0.819,0.733,0.437,0.0606,0.0,46,75.007,1
0.586,0.699,0.299,0.0729,0.0,49,123.991,1
0.498,0.688,0.507,0.18,0.0,48,147.899,1
0.651,0.906,0.579,0.0114,0.0,50,81.994,1
0.523,0.885,0.723,0.0239,0.0,28,82.29,1
0.548,0.754,0.59,0.0823,0.0,26,94.593,1
0.491,0.617,0.368,0.163,0.0,36,90.197,1
0.417,0.737,0.355,0.23,4.85e-05,36,165.183,1
0.78,0.647,0.551,0.0861,0.0,30,116.976,1
0.675,0.695,0.61,0.263,0.0,31,80.345,1
0.621,0.73,0.6,0.0414,0.0,16,86.103,1
0.387,0.678,0.422,0.0416,0.0,28,79.084,1
0.458,0.683,0.389,0.0449,0.0,26,77.959,1
0.542,0.654,0.125,0.151,0.0,13,176.474,1
0.772,0.551,0.269,0.0433,0.0,14,91.048,1
0.358,0.975,0.225,0.0553,0.0263,32,84.133,1
0.53,0.899,0.746,0.0292,0.0,38,97.858,1
0.592,0.934,0.332,0.000734,5.23e-05,36,89.977,1
0.524,0.864,0.655,0.00823,0.00131,32,124.988,1
0.392,0.898,0.545,0.0662,0.0,26,83.933,1
0.337,0.89,0.24,0.000563,0.022,22,175.776,1
0.55,0.798,0.39,0.00041,0.0,27,94.963,1
0.542,0.902,0.661,0.0598,0.0,27,95.326,1
0.7,0.641,0.383,0.0162,3.06e-06,57,149.992,1
0.779,0.629,0.185,0.00311,0.0,56,116.53,1
0.489,0.718,0.0568,0.0122,0.0,68,207.986,1
0.897,0.598,0.528,0.492,0.0014,62,119.966,1
0.601,0.768,0.634,0.141,0.0,53,152.45,1
0.883,0.563,0.743,0.0518,0.01,37,86.907,1
0.812,0.625,0.301,0.0385,0.0,13,81.018,1
0.594,0.635,0.552,0.249,0.0,42,75.035,1
0.794,0.65,0.772,0.0569,0.0,12,80.011,1
0.801,0.807,0.859,0.0817,4.41e-06,22,95.99,1
0.452,0.699,0.385,0.00655,0.0,11,80.025,1
0.614,0.888,0.793,0.0262,0.0,19,163.85,1
0.416,0.664,0.504,0.0153,0.0,35,75.528,1
0.832,0.54,0.561,0.0707,0.0,44,138.8,1
0.687,0.658,0.164,0.00561,0.086,30,140.021,1
0.715,0.553,0.429,0.0155,2.14e-05,38,135.916,1
0.783,0.653,0.783,0.105,0.0,30,84.161,1
0.836,0.611,0.754,0.102,0.0148,27,96.228,1
0.626,0.668,0.793,0.482,0.0,44,160.121,1
0.732,0.584,0.474,0.0408,0.0,33,176.72,1
0.457,0.815,0.237,0.031,0.0,46,150.923,1
0.536,0.771,0.66,0.0126,0.0,51,152.174,1
0.449,0.684,0.304,0.000397,0.0,58,122.935,1
0.686,0.72,0.326,0.0821,0.0,57,146.026,1
0.838,0.798,0.585,0.00749,0.0,50,155.968,1
0.792,0.428,0.202,0.0762,0.0,20,148.065,1
0.864,0.552,0.33,0.199,0.0,35,150.05,1
0.56,0.418,0.381,0.176,0.0,20,148.314,1
0.556,0.836,0.429,0.0587,0.000351,15,168.196,1
0.73,0.828,0.677,0.0629,0.0,12,82.092,1
0.406,0.701,0.492,0.208,0.0,34,96.927,1
0.651,0.9,0.697,0.0679,0.0,28,169.989,1
0.4,0.963,0.366,0.208,2.89e-06,32,169.61,1
0.527,0.633,0.301,0.00956,0.0,43,91.129,1
0.769,0.558,0.539,0.023,0.0,31,143.926,1
0.744,0.697,0.767,0.0106,0.0,54,149.28,1
0.754,0.494,0.24,0.013,0.000317,42,139.983,1
0.643,0.592,0.405,0.00475,1.54e-06,61,123.942,1
0.767,0.593,0.23,0.256,0.0,52,142.972,1
0.751,0.681,0.712,0.0136,0.0,32,154.046,1
0.618,0.774,0.566,0.257,0.0,33,153.429,1
0.714,0.765,0.238,0.265,0.0,47,155.263,1
0.315,0.866,0.416,0.0714,0.0,35,74.601,1
0.63,0.776,0.542,0.239,0.0,33,155.88,1
0.576,0.939,0.636,0.0952,0.0,28,155.191,1
0.772,0.68,0.807,0.277,1.17e-05,70,119.953,1
0.862,0.707,0.849,0.335,0.000116,51,121.259,1
0.658,0.736,0.804,0.113,0.0,69,143.966,1
0.836,0.776,0.37,0.274,0.0,63,130.033,1
0.862,0.775,0.654,0.223,0.0,39,120.034,1
0.868,0.444,0.395,0.059,0.0,53,159.973,1
0.611,0.723,0.493,0.00854,0.0,35,160.094,1
0.641,0.825,0.51,0.109,0.0,41,149.973,1
0.607,0.599,0.372,0.15,0.0,33,80.061,1
0.647,0.533,0.376,0.227,0.0,33,150.103,1
0.625,0.538,0.222,0.00819,0.0,59,130.07,1
0.548,0.921,0.761,0.128,0.0,43,168.27,1
0.738,0.514,0.201,0.188,0.0,65,143.932,1
0.58,0.705,0.629,0.0144,2.72e-05,46,160.986,1
0.68,0.695,0.347,0.479,0.0,40,140.067,1
0.606,0.549,0.524,0.00237,0.0,40,176.051,1
0.564,0.608,0.283,0.307,0.0,41,80.027,1
0.581,0.872,0.787,0.00733,0.0,42,75.035,1
0.768,0.766,0.676,0.334,0.0,44,129.985,1
0.716,0.533,0.561,0.608,1.1e-06,41,140.022,1
0.583,0.459,0.357,0.239,0.0,55,99.809,1
0.53,0.796,0.536,0.0044,0.000308,41,166.022,1
0.448,0.846,0.391,0.000959,0.0,40,144.852,1
0.709,0.465,0.318,0.717,0.0,58,155.905,1
0.813,0.483,0.0396,0.118,0.00291,54,120.046,1
0.714,0.744,0.96,0.232,0.0,32,79.946,1
0.488,0.513,0.425,0.0759,0.0,28,160.022,1
0.657,0.695,0.328,0.0506,0.0,43,75.039,1
0.737,0.625,0.504,0.00873,0.0,45,113.934,1
0.595,0.726,0.434,0.0498,0.0,49,150.774,1
0.702,0.741,0.468,0.0131,0.0,58,152.021,1
0.724,0.516,0.277,0.185,0.000627,35,139.927,1
0.726,0.578,0.106,0.0361,0.0,42,125.976,1
0.701,0.717,0.529,0.261,0.0,56,87.978,1
0.582,0.78,0.362,0.000269,0.0,28,85.99,1
0.628,0.776,0.664,0.217,0.0,26,82.981,1
0.614,0.673,0.254,0.162,4.09e-06,42,130.08,1
0.616,0.849,0.468,0.451,0.0,30,85.106,1
0.803,0.653,0.533,0.0891,0.0,44,115.03,1
0.691,0.668,0.483,0.172,0.0,54,74.985,1
0.571,0.703,0.285,0.0153,1.41e-05,37,151.94,1
0.674,0.67,0.371,0.204,0.0,39,143.948,1
0.748,0.679,0.255,0.492,8.47e-06,38,129.952,1
0.71,0.779,0.366,0.158,0.0,61,129.093,1
0.69,0.732,0.317,0.109,0.0,51,119.893,1
0.655,0.539,0.238,0.229,3.6e-06,54,85.07,1
0.842,0.568,0.929,0.358,0.0,21,101.987,1
0.559,0.843,0.911,0.0116,0.0,24,87.323,1
0.658,0.729,0.459,0.112,3.34e-06,19,152.226,1
0.729,0.753,0.696,0.0815,2e-06,25,157.014,1
0.544,0.833,0.736,0.0381,0.0,46,87.424,1
0.593,0.641,0.745,0.219,0.0,27,159.884,1
0.626,0.767,0.778,0.0962,0.0,20,100.04,1
0.523,0.693,0.646,0.0293,0.0,30,159.972,1
0.626,0.649,0.413,0.0112,0.0,38,84.002,1
0.64,0.716,0.713,0.014,0.0,21,140.019,1
0.546,0.584,0.54,0.0425,0.0,21,82.029,1
0.513,0.756,0.511,0.305,0.0,28,177.678,1
0.647,0.647,0.437,0.379,0.0,29,168.317,1
0.734,0.527,0.338,0.0155,0.0,28,82.978,1
0.773,0.684,0.484,0.0784,0.0,54,89.992,1
0.576,0.748,0.49,0.321,0.0,35,89.615,1
0.751,0.658,0.261,0.0474,0.0,40,116.966,1
0.635,0.429,0.25,0.115,0.0,42,121.953,1
0.683,0.566,0.339,0.321,0.0,36,140.105,1
0.706,0.821,0.528,0.0345,0.0,34,99.997,1
0.468,0.874,0.523,0.187,0.0,58,79.988,1
0.695,0.745,0.484,0.0124,0.0,59,105.01,1
0.843,0.668,0.378,0.174,6.66e-05,45,125.028,1
0.661,0.613,0.518,0.0848,0.0,32,146.083,1
0.613,0.709,0.523,0.0819,0.0,57,134.972,1
0.794,0.694,0.758,0.0665,0.0,43,85.021,1
0.809,0.661,0.392,0.0195,0.0,53,114.986,1
0.569,0.814,0.59,0.000359,7.98e-06,41,131.041,1
0.598,0.742,0.349,0.00935,2.13e-06,52,129.984,1
0.666,0.751,0.46,0.00667,0.0,40,124.029,1
0.466,0.739,0.28,0.0131,0.0,42,148.15,1
0.491,0.648,0.309,0.0225,0.0,39,179.932,1
0.709,0.875,0.462,0.0816,0.0,42,102.044,1
0.67,0.818,0.552,0.00609,0.0,40,130.036,1
0.608,0.665,0.206,0.0511,0.0,47,89.953,1
0.715,0.716,0.0619,0.108,0.0,54,128.005,1
0.64,0.686,0.318,0.00694,2.24e-06,52,75.673,1
0.608,0.649,0.505,0.0925,8.49e-05,38,167.936,1
0.732,0.61,0.893,0.0127,0.0,40,170.034,1
0.516,0.725,0.373,0.00882,0.0,18,169.226,1
0.911,0.552,0.384,0.00178,2.16e-06,46,97.239,1
0.703,0.705,0.57,0.047,0.0,24,149.991,1
0.479,0.586,0.542,0.101,0.0,36,79.166,1
0.574,0.696,0.798,0.0524,0.0,13,168.219,1
0.543,0.744,0.595,0.166,0.0,46,136.894,1
0.759,0.828,0.353,0.0185,1.66e-06,42,146.58,1
0.809,0.424,0.199,0.0583,0.0,52,137.991,1
0.854,0.728,0.616,0.025,0.0,62,94.907,1
0.61,0.959,0.683,0.159,0.0,48,174.176,1
0.901,0.626,0.89,0.115,0.0,39,115.043,1
0.688,0.689,0.578,0.018,3.11e-06,59,184.093,1
0.936,0.665,0.681,0.0629,0.000225,38,138.031,1
0.57,0.735,0.735,0.0221,0.0,34,146.068,1
0.893,0.776,0.229,0.00607,0.0,63,91.987,1
0.74,0.614,0.813,0.543,0.0,30,93.449,1
0.74,0.453,0.178,0.656,8e-05,48,75.992,1
0.751,0.684,0.173,0.179,0.0,35,110.006,1
0.863,0.53,0.599,0.0611,0.0,43,159.948,1
0.858,0.554,0.75,0.0377,0.0,38,140.011,1
0.66,0.911,0.501,0.0297,0.0,52,87.311,1
0.776,0.574,0.318,0.305,0.0,38,90.047,1
0.722,0.274,0.19,0.565,3.3e-05,32,122.067,1
0.64,0.605,0.201,0.419,0.0,27,99.775,1
0.825,0.541,0.151,0.0259,0.0,31,149.922,1
0.731,0.877,0.576,0.356,0.0782,36,165.161,1
0.55,0.793,0.494,0.106,0.0,27,86.741,1
0.478,0.561,0.258,0.000422,0.000194,35,82.337,1
0.894,0.657,0.906,0.103,0.0,43,150.088,1
0.867,0.796,0.776,0.202,0.0,63,92.766,1
0.721,0.863,0.35,0.0174,0.0,59,139.981,1
0.435,0.712,0.445,0.0383,0.0,43,125.789,1
0.646,0.889,0.852,0.0063,7.74e-05,32,94.113,1
0.721,0.618,0.23,0.00148,0.0,33,96.724,1
0.67,0.895,0.622,0.327,0.0,47,111.389,1
